title,price,rating,availability,category
A Light in the Attic,£51.77,Three,In stock,Poetry
Tipping the Velvet,£53.74,One,In stock,Historical Fiction
Soumission,£50.10,One,In stock,Fiction
Sharp Objects,£47.82,Four,In stock,Mystery
Sapiens: A Brief History,£54.23,Five,In stock,History
The Requiem Red,£22.65,One,In stock,Fantasy
The Dirty Little Secrets,£33.34,Four,In stock,Mystery
The Coming Woman,£17.93,Three,In stock,Historical Fiction
The Boys in the Boat,£22.60,Four,In stock,Sports
The Black Maria,£52.15,One,In stock,Poetry
Starving Hearts,£13.99,Two,In stock,Romance
Shakespeare's Sonnets,£20.66,Four,In stock,Poetry
Set Me Free,£17.46,Five,In stock,Young Adult
Scott Pilgrim's Precious Little Life,£52.29,Five,In stock,Sequential Art
Rip it Up and Start Again,£35.02,Five,In stock,Music
Our Band Could Be Your Life,£57.25,Three,In stock,Music
Olio,£23.88,One,In stock,Poetry
Mesaerion: The Best SF Stories 1800–1849,£37.59,One,In stock,Science Fiction
Libertarianism for Beginners,£51.33,Two,In stock,Politics
It's Only the Himalayas,£45.17,Two,In stock,Travel
